feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,1468.56
NEW_EXT_SOURCES_MEAN,1312.5
DAYS_BIRTH,1070.6
EXT_SOURCE_3,1019.78
EXT_SOURCE_2,874.56
DIFF_CREDIT_AND_GOODS_RATIO,847.0
DAYS_EMPLOYED,804.2
INSTAL_DPD_MEAN,791.38
EXT_SOURCE_1,751.9
CLOSED_DAYS_CREDIT_MAX,739.44
NEW_EMPLOY_TO_BIRTH_RATIO,731.4
DAYS_ID_PUBLISH,688.12
AMT_ANNUITY,653.7
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,636.82
PREV_CNT_PAYMENT_MEAN,633.7
NEW_ANNUITY_TO_INCOME_RATIO,624.5
ACTIVE_DAYS_CREDIT_MAX,603.74
APPROVED_CNT_PAYMENT_MEAN,599.94
INSTAL_AMT_PAYMENT_SUM,586.92
POS_MONTHS_BALANCE_SIZE,581.68
APPROVED_AMT_DOWN_PAYMENT_MAX,567.58
INSTAL_AMT_PAYMENT_MAX,550.98
INSTAL_DAYS_ENTRY_PAYMENT_MAX,546.82
REGION_POPULATION_RELATIVE,545.16
DAYS_LAST_PHONE_CHANGE,544.36
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,531.7
ACTIVE_DAYS_CREDIT_MEAN,524.86
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,497.92
POS_NAME_CONTRACT_STATUS_Active_MEAN,494.54
BURO_DAYS_CREDIT_ENDDATE_MAX,492.46
BURO_DAYS_CREDIT_MAX,487.28
PREV_AMT_ANNUITY_MEAN,475.1
INSTAL_AMT_PAYMENT_MEAN,470.46
BURO_AMT_CREDIT_SUM_SUM,466.9
PREV_APP_CREDIT_PERC_MEAN,466.72
BURO_AMT_CREDIT_SUM_MEAN,466.5
APPROVED_DAYS_DECISION_MAX,464.86
APPROVED_AMT_ANNUITY_MEAN,460.88
INCOME_TO_GOODS_PRICE_RATIO,451.94
INSTAL_DBD_SUM,446.98
PREV_RATE_DOWN_PAYMENT_MEAN,445.62
PREV_APP_CREDIT_PERC_MAX,442.22
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,434.44
NEW_SOURCES_PROD,432.88
OWN_CAR_AGE,424.18
INSTAL_DBD_MAX,420.74
BURO_AMT_CREDIT_SUM_DEBT_MEAN,417.32
APPROVED_TIME_DECAYED_HUMAN_EVAL_SUM,400.84
INSTAL_PAYMENT_PERC_SUM,392.28
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,391.08
ACTIVE_AMT_CREDIT_SUM_SUM,390.3
AMT_GOODS_PRICE,389.42
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,376.58
YEARS_BEGINEXPLUATATION_MEDI,365.28
INSTAL_PAYMENT_PERC_MEAN,360.4
NEW_RATIO_PREV_TIME_DECAYED_HUMAN_EVAL_SUM,357.0
APPROVED_AMT_CREDIT_MAX,356.6
BURO_AMT_CREDIT_SUM_MAX,351.04
APPROVED_CNT_PAYMENT_SUM,348.04
INSTAL_AMT_INSTALMENT_SUM,344.1
APARTMENTS_MEDI,339.44
PREV_APP_CREDIT_PERC_MIN,335.94
PREV_NAME_YIELD_GROUP_high_MEAN,334.8
ACTIVE_AMT_CREDIT_SUM_MEAN,330.62
REFUSED_TIME_DECAYED_HUMAN_EVAL_SUM,329.56
LIVINGAREA_MEDI,324.12
AMT_CREDIT,323.34
BURO_CREDIT_ACTIVE_Closed_MEAN,315.64
INSTAL_PAYMENT_DIFF_SUM,314.94
DIFF_INCOME_AND_GOODS_PRICE,314.18
APPROVED_APP_CREDIT_PERC_MIN,307.44
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,299.46
BURO_CREDIT_TYPE_Credit card_MEAN,299.06
INSTAL_PAYMENT_DIFF_MAX,298.5
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,293.46
POS_MONTHS_BALANCE_MAX,293.0
