Train samples: 307511, test samples: 48744
Bureau df shape: (305811, 116)
Process bureau and bureau_balance - done in 215s
Previous applications df shape: (338857, 249)
Process previous_applications - done in 53s
Pos-cash balance df shape: (337252, 18)
Process POS-CASH balance - done in 22s
Installments payments df shape: (339587, 26)
Process installments payments - done in 53s
Credit card balance df shape: (103558, 141)
Process credit card balance - done in 27s
Starting LightGBM. Train shape: (307507, 798), test shape: (48744, 798)
Training until validation scores don't improve for 200 rounds.
[100]	training's auc: 0.756272	valid_1's auc: 0.739449
[200]	training's auc: 0.78417		valid_1's auc: 0.760858
[300]	training's auc: 0.803267	valid_1's auc: 0.773516
[400]	training's auc: 0.815682	valid_1's auc: 0.779248
[500]	training's auc: 0.825599	valid_1's auc: 0.782873
[600]	training's auc: 0.833797	valid_1's auc: 0.78534
[700]	training's auc: 0.841041	valid_1's auc: 0.786797
[800]	training's auc: 0.847752	valid_1's auc: 0.78782
[900]	training's auc: 0.853838	valid_1's auc: 0.788597
[1000]	training's auc: 0.859697	valid_1's auc: 0.789116
[1100]	training's auc: 0.865123	valid_1's auc: 0.789619
[1200]	training's auc: 0.870643	valid_1's auc: 0.790083
[1300]	training's auc: 0.87565		valid_1's auc: 0.790462
[1400]	training's auc: 0.880581	valid_1's auc: 0.790909
[1500]	training's auc: 0.885178	valid_1's auc: 0.79117
[1600]	training's auc: 0.889695	valid_1's auc: 0.791456
[1700]	training's auc: 0.893924	valid_1's auc: 0.79155
[1800]	training's auc: 0.898066	valid_1's auc: 0.791576
[1900]	training's auc: 0.901852	valid_1's auc: 0.791608
[2000]	training's auc: 0.905544	valid_1's auc: 0.79172
[2100]	training's auc: 0.909244	valid_1's auc: 0.791784
[2200]	training's auc: 0.912684	valid_1's auc: 0.791833
[2300]	training's auc: 0.916113	valid_1's auc: 0.791808
[2400]	training's auc: 0.919323	valid_1's auc: 0.791591
Early stopping, best iteration is:
[2205]	training's auc: 0.912838	valid_1's auc: 0.791908
Fold  1 AUC : 0.791908
