feature,importance
EXT_SOURCE_3,33.49
EXT_SOURCE_2,29.115
DAYS_EMPLOYED,28.4675
DAYS_REGISTRATION,28.2425
DAYS_ID_PUBLISH,28.0575
DAYS_BIRTH,27.32
NEW_EMPLOY_TO_BIRTH_RATIO,26.6075
NEW_EXT_SOURCES_MEAN,23.7725
NEW_CREDIT_TO_ANNUITY_RATIO,23.6525
EXT_SOURCE_1,23.535
NEW_ANNUITY_TO_INCOME_RATIO,23.42
AMT_ANNUITY,23.01
INSTAL_AMT_PAYMENT_MIN,22.715
NEW_CREDIT_TO_INCOME_RATIO,22.68
BURO_DAYS_CREDIT_VAR,22.5375
CLOSED_DAYS_CREDIT_VAR,22.2775
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MAX,20.7975
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,20.3525
PREV_APP_CREDIT_PERC_VAR,19.7375
DAYS_LAST_PHONE_CHANGE,19.715
NEW_SOURCES_PROD,19.6875
CLOSED_DAYS_CREDIT_MAX,19.6725
REGION_POPULATION_RELATIVE,19.57
NEW_RATIO_BURO_DAYS_CREDIT_MAX,19.42
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,18.9975
CLOSED_DAYS_CREDIT_ENDDATE_MAX,18.8175
BURO_DAYS_CREDIT_MAX,18.6825
BURO_DAYS_CREDIT_ENDDATE_MEAN,18.6625
APPROVED_APP_CREDIT_PERC_VAR,18.4325
ACTIVE_DAYS_CREDIT_VAR,18.2875
NEW_RATIO_BURO_DAYS_CREDIT_UPDATE_MEAN,17.9975
INCOME_PER_PERSON,17.8025
EXT_SOURCE_1_VAR,17.645
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MEAN,17.625
BURO_DAYS_CREDIT_UPDATE_MEAN,17.4475
CLOSED_DAYS_CREDIT_UPDATE_MEAN,17.36
BURO_DAYS_CREDIT_ENDDATE_MAX,17.2875
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MIN,17.2675
PREV_DAYS_DECISION_MAX,17.1975
PREV_HOUR_APPR_PROCESS_START_MEAN,17.0325
INSTAL_DBD_MEAN,16.8925
