feature,importance
NEW_EXT_SOURCES_MEAN,1053.04
NEW_CREDIT_TO_ANNUITY_RATIO,965.46
DAYS_BIRTH,713.1
INSTAL_DPD_MEAN,647.1
EXT_SOURCE_3,646.1
NEW_CREDIT_TO_GOODS_RATIO,591.08
EXT_SOURCE_2,585.38
AMT_ANNUITY,520.44
EXT_SOURCE_1,519.26
DAYS_EMPLOYED,512.04
NEW_EMPLOY_TO_BIRTH_RATIO,442.58
APPROVED_CNT_PAYMENT_MEAN,437.24
DAYS_ID_PUBLISH,410.32
NEW_ANNUITY_TO_INCOME_RATIO,382.18
INSTAL_AMT_PAYMENT_SUM,376.92
PREV_CNT_PAYMENT_MEAN,375.46
ACTIVE_DAYS_CREDIT_MAX,368.78
POS_MONTHS_BALANCE_SIZE,355.04
DAYS_REGISTRATION,347.64
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,318.44
NEW_SOURCES_PROD,308.16
REGION_POPULATION_RELATIVE,302.4
OWN_CAR_AGE,295.16
INSTAL_DAYS_ENTRY_PAYMENT_MAX,287.34
AMT_GOODS_PRICE,277.94
DAYS_LAST_PHONE_CHANGE,273.84
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,270.9
BURO_DAYS_CREDIT_MAX,269.78
CLOSED_DAYS_CREDIT_MAX,264.58
INSTAL_AMT_PAYMENT_MIN,250.68
AMT_CREDIT,243.58
NEW_CREDIT_TO_INCOME_RATIO,237.1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,234.38
CLOSED_DAYS_CREDIT_ENDDATE_MAX,233.88
BURO_DAYS_CREDIT_ENDDATE_MAX,230.94
CODE_GENDER,224.8
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,224.62
ACTIVE_AMT_CREDIT_SUM_SUM,222.26
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,217.04
BURO_AMT_CREDIT_SUM_MEAN,216.02
INSTAL_DBD_MEAN,215.36
INSTAL_DBD_SUM,213.14
CLOSED_DAYS_CREDIT_VAR,209.82
POS_NAME_CONTRACT_STATUS_Active_MEAN,208.18
PREV_APP_CREDIT_PERC_VAR,206.86
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,200.2
NEW_RATIO_BURO_DAYS_CREDIT_MAX,198.0
INSTAL_DBD_MAX,196.28
PREV_AMT_ANNUITY_MEAN,195.9
PREV_APP_CREDIT_PERC_MEAN,195.22
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,195.0
APPROVED_DAYS_DECISION_MAX,193.52
BURO_AMT_CREDIT_SUM_SUM,190.14
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MAX,189.82
CLOSED_AMT_CREDIT_SUM_MEAN,188.56
APPROVED_AMT_DOWN_PAYMENT_MAX,188.48
BURO_DAYS_CREDIT_ENDDATE_MEAN,187.28
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,185.08
BURO_DAYS_CREDIT_MEAN,183.9
POS_MONTHS_BALANCE_MEAN,182.22
INSTAL_AMT_PAYMENT_MEAN,181.86
PREV_DAYS_DECISION_MAX,181.84
APPROVED_CNT_PAYMENT_SUM,181.8
ACTIVE_DAYS_CREDIT_MEAN,178.6
POS_SK_DPD_DEF_MEAN,177.36
APPROVED_AMT_ANNUITY_MEAN,177.34
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,176.92
INSTAL_AMT_INSTALMENT_MAX,174.64
PREV_NAME_YIELD_GROUP_high_MEAN,173.0
CLOSED_AMT_CREDIT_SUM_SUM,172.02
BURO_DAYS_CREDIT_VAR,171.36
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,170.52
PREV_HOUR_APPR_PROCESS_START_MEAN,169.78
INSTAL_AMT_INSTALMENT_SUM,169.72
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,169.08
APPROVED_APP_CREDIT_PERC_VAR,168.68
INSTAL_DAYS_ENTRY_PAYMENT_SUM,168.64
ACTIVE_AMT_CREDIT_SUM_MEAN,167.56
POS_NAME_CONTRACT_STATUS_Completed_MEAN,167.34
INCOME_PER_PERSON,166.78
PREV_APP_CREDIT_PERC_MIN,166.02
BURO_AMT_CREDIT_SUM_MAX,165.36
APPROVED_TIME_DECAYED_HUMAN_EVAL_SUM,160.58
CLOSED_DAYS_CREDIT_UPDATE_MEAN,160.5
PREV_HUMAN_EVAL_MEAN,159.66
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,156.7
INSTAL_PAYMENT_PERC_MEAN,156.46
ACTIVE_DAYS_CREDIT_VAR,156.4
ACTIVE_AMT_CREDIT_SUM_MAX,153.12
NEW_RATIO_BURO_DAYS_CREDIT_UPDATE_MEAN,152.92
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,149.36
INSTAL_AMT_PAYMENT_MAX,147.66
POS_MONTHS_BALANCE_MAX,146.14
EXT_SOURCE_1_VAR,145.6
INSTAL_PAYMENT_PERC_SUM,144.94
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,144.38
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MIN,144.2
NEW_RATIO_BURO_AMT_CREDIT_SUM_MAX,142.38
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MEAN,141.84
PREV_AMT_ANNUITY_MIN,141.76
PREV_DAYS_DECISION_MEAN,140.98
APPROVED_DAYS_DECISION_MEAN,138.04
NEW_RATIO_BURO_DAYS_CREDIT_MEAN,137.96
APPROVED_APP_CREDIT_PERC_MEAN,137.32
CLOSED_AMT_CREDIT_SUM_MAX,137.24
BURO_DAYS_CREDIT_UPDATE_MEAN,137.24
INSTAL_DPD_SUM,137.14
AMT_INCOME_TOTAL,137.12
PREV_NAME_TYPE_SUITE_nan_MEAN,136.54
PREV_TIME_DECAYED_HUMAN_EVAL_SUM,135.98
NEW_RATIO_BURO_AMT_CREDIT_SUM_MEAN,134.14
INSTAL_DPD_MAX,133.76
APPROVED_HOUR_APPR_PROCESS_START_MEAN,133.34
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,132.96
INSTAL_PAYMENT_DIFF_SUM,132.36
PREV_AMT_DOWN_PAYMENT_MAX,129.64
INSTAL_PAYMENT_DIFF_MEAN,128.12
APPROVED_APP_CREDIT_PERC_MIN,127.94
BURO_STATUS_0_MEAN_MEAN,127.82
APPROVED_AMT_CREDIT_MAX,126.4
INSTAL_PAYMENT_DIFF_MAX,126.34
PREV_APP_CREDIT_PERC_MAX,125.78
APPROVED_AMT_ANNUITY_MIN,125.34
ACTIVE_DAYS_CREDIT_MIN,125.18
NEW_INC_PER_CHLD,124.94
