feature,importance
NEW_EXT_SOURCES_MEAN,1031.92
NEW_CREDIT_TO_ANNUITY_RATIO,932.4
DAYS_BIRTH,687.96
INSTAL_DPD_MEAN,634.16
EXT_SOURCE_3,626.04
NEW_CREDIT_TO_GOODS_RATIO,578.8
EXT_SOURCE_2,559.96
EXT_SOURCE_1,511.52
AMT_ANNUITY,502.08
DAYS_EMPLOYED,497.72
APPROVED_CNT_PAYMENT_MEAN,430.68
NEW_EMPLOY_TO_BIRTH_RATIO,424.52
DAYS_ID_PUBLISH,382.68
PREV_CNT_PAYMENT_MEAN,371.0
INSTAL_AMT_PAYMENT_SUM,369.92
NEW_ANNUITY_TO_INCOME_RATIO,361.12
ACTIVE_DAYS_CREDIT_MAX,359.8
POS_MONTHS_BALANCE_SIZE,341.28
DAYS_REGISTRATION,322.56
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,297.2
NEW_SOURCES_PROD,293.84
REGION_POPULATION_RELATIVE,286.6
OWN_CAR_AGE,274.32
INSTAL_DAYS_ENTRY_PAYMENT_MAX,272.6
AMT_GOODS_PRICE,266.28
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,255.84
BURO_DAYS_CREDIT_MAX,254.04
CLOSED_DAYS_CREDIT_MAX,252.08
DAYS_LAST_PHONE_CHANGE,247.16
AMT_CREDIT,230.44
INSTAL_AMT_PAYMENT_MIN,229.8
BURO_AMT_CREDIT_SUM_DEBT_MEAN,223.88
CODE_GENDER,223.32
NEW_CREDIT_TO_INCOME_RATIO,222.08
BURO_DAYS_CREDIT_ENDDATE_MAX,219.08
CLOSED_DAYS_CREDIT_ENDDATE_MAX,217.04
ACTIVE_AMT_CREDIT_SUM_SUM,214.2
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,209.88
BURO_AMT_CREDIT_SUM_MEAN,202.96
INSTAL_DBD_MEAN,202.2
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,201.92
INSTAL_DBD_SUM,201.12
CLOSED_DAYS_CREDIT_VAR,198.24
POS_NAME_CONTRACT_STATUS_Active_MEAN,197.56
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,195.2
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,189.88
NEW_RATIO_BURO_DAYS_CREDIT_MAX,188.52
PREV_APP_CREDIT_PERC_MEAN,187.56
PREV_APP_CREDIT_PERC_VAR,186.88
APPROVED_AMT_DOWN_PAYMENT_MAX,182.08
PREV_AMT_ANNUITY_MEAN,181.16
INSTAL_DBD_MAX,181.16
BURO_AMT_CREDIT_SUM_SUM,178.92
APPROVED_DAYS_DECISION_MAX,178.2
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,176.96
CLOSED_AMT_CREDIT_SUM_MEAN,176.56
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MAX,176.16
INSTAL_AMT_PAYMENT_MEAN,175.92
ACTIVE_DAYS_CREDIT_MEAN,173.68
POS_SK_DPD_DEF_MEAN,173.64
BURO_DAYS_CREDIT_MEAN,173.2
APPROVED_CNT_PAYMENT_SUM,173.2
BURO_DAYS_CREDIT_ENDDATE_MEAN,171.2
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,170.08
INSTAL_AMT_INSTALMENT_MAX,169.92
POS_MONTHS_BALANCE_MEAN,169.8
PREV_DAYS_DECISION_MAX,167.6
APPROVED_AMT_ANNUITY_MEAN,167.08
CLOSED_AMT_CREDIT_SUM_SUM,165.4
INSTAL_AMT_INSTALMENT_SUM,165.16
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,161.08
BURO_DAYS_CREDIT_VAR,160.56
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,160.28
PREV_HUMAN_EVAL_MEAN,159.6
PREV_NAME_YIELD_GROUP_high_MEAN,159.56
PREV_APP_CREDIT_PERC_MIN,159.12
APPROVED_APP_CREDIT_PERC_VAR,157.8
BURO_AMT_CREDIT_SUM_MAX,157.72
INCOME_PER_PERSON,157.6
INSTAL_PAYMENT_PERC_MEAN,156.96
PREV_HOUR_APPR_PROCESS_START_MEAN,156.88
ACTIVE_AMT_CREDIT_SUM_MEAN,156.52
INSTAL_DAYS_ENTRY_PAYMENT_SUM,151.24
APPROVED_TIME_DECAYED_HUMAN_EVAL_SUM,149.92
CLOSED_DAYS_CREDIT_UPDATE_MEAN,148.16
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,147.72
POS_NAME_CONTRACT_STATUS_Completed_MEAN,147.48
ACTIVE_DAYS_CREDIT_VAR,145.44
ACTIVE_AMT_CREDIT_SUM_MAX,143.72
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,142.84
POS_MONTHS_BALANCE_MAX,141.56
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,141.12
EXT_SOURCE_1_VAR,139.68
INSTAL_AMT_PAYMENT_MAX,136.52
NEW_RATIO_BURO_DAYS_CREDIT_UPDATE_MEAN,135.2
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MIN,134.48
CLOSED_AMT_CREDIT_SUM_MAX,133.92
INSTAL_PAYMENT_PERC_SUM,133.72
PREV_AMT_ANNUITY_MIN,131.88
INSTAL_DPD_SUM,131.52
NEW_RATIO_BURO_DAYS_CREDIT_MEAN,131.32
NEW_RATIO_BURO_DAYS_CREDIT_ENDDATE_MEAN,131.0
INSTAL_DPD_MAX,130.84
PREV_NAME_TYPE_SUITE_nan_MEAN,130.76
NEW_RATIO_BURO_AMT_CREDIT_SUM_MAX,129.0
APPROVED_APP_CREDIT_PERC_MEAN,128.84
BURO_DAYS_CREDIT_UPDATE_MEAN,127.48
PREV_DAYS_DECISION_MEAN,127.36
APPROVED_HOUR_APPR_PROCESS_START_MEAN,127.08
AMT_INCOME_TOTAL,126.84
PREV_TIME_DECAYED_HUMAN_EVAL_SUM,125.56
NEW_RATIO_BURO_AMT_CREDIT_SUM_MEAN,125.28
APPROVED_DAYS_DECISION_MEAN,125.04
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,123.56
APPROVED_APP_CREDIT_PERC_MIN,122.68
INSTAL_PAYMENT_DIFF_MEAN,121.6
BURO_STATUS_0_MEAN_MEAN,121.16
CC_CNT_DRAWINGS_CURRENT_VAR,120.52
INSTAL_PAYMENT_DIFF_SUM,119.24
PREV_AMT_DOWN_PAYMENT_MAX,118.48
PREV_APP_CREDIT_PERC_MAX,117.88
APPROVED_AMT_CREDIT_MAX,116.8
APPROVED_AMT_ANNUITY_MIN,116.76
NEW_RATIO_BURO_DAYS_CREDIT_MIN,116.28
BURO_AMT_CREDIT_SUM_DEBT_SUM,115.92
NAME_FAMILY_STATUS_Married,115.28
BURO_DAYS_CREDIT_MIN,114.96
INSTAL_PAYMENT_DIFF_MAX,114.92
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,114.64
ACTIVE_DAYS_CREDIT_MIN,114.24
APPROVED_AMT_CREDIT_MIN,113.16
INSTAL_AMT_INSTALMENT_MEAN,112.32
PREV_RATE_DOWN_PAYMENT_MEAN,112.24
NEW_INC_PER_CHLD,112.08
BURO_CREDIT_TYPE_Credit card_MEAN,112.08
NEW_RATIO_PREV_TIME_DECAYED_HUMAN_EVAL_SUM,111.44
APPROVED_APP_CREDIT_PERC_MAX,109.4
BURO_CREDIT_TYPE_Microloan_MEAN,109.28
APPROVED_AMT_ANNUITY_MAX,109.24
HOUR_APPR_PROCESS_START,108.24
INSTAL_PAYMENT_PERC_VAR,107.8
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,106.2
REGION_RATING_CLIENT_W_CITY,105.72
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,105.0
NEW_RATIO_PREV_DAYS_DECISION_MAX,104.68
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,104.64
NEW_RATIO_BURO_DAYS_CREDIT_VAR,102.44
PREV_AMT_ANNUITY_MAX,101.64
TOTALAREA_MODE,101.04
CLOSED_DAYS_CREDIT_MEAN,100.08
PREV_NAME_YIELD_GROUP_middle_MEAN,98.92
PREV_AMT_CREDIT_MEAN,98.92
PREV_AMT_DOWN_PAYMENT_MEAN,98.08
APPROVED_AMT_GOODS_PRICE_MIN,97.84
PREV_DAYS_DECISION_MIN,97.32
APPROVED_DAYS_DECISION_MIN,96.08
PREV_AMT_GOODS_PRICE_MIN,95.32
BURO_DAYS_CREDIT_ENDDATE_MIN,93.92
NAME_EDUCATION_TYPE_Higher education,93.68
BURO_AMT_CREDIT_SUM_DEBT_MAX,93.52
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,93.0
CLOSED_DAYS_CREDIT_MIN,92.76
PREV_AMT_APPLICATION_MEAN,92.04
