feature,importance
EXT_SOURCE_3,67.05
CLOSED_DAYS_CREDIT_MAX,65.4075
EXT_SOURCE_2,58.8325
DAYS_ID_PUBLISH,57.985
DAYS_BIRTH,54.4575
INSTAL_AMT_PAYMENT_MIN_MIN,53.025
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,50.91
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,49.2475
NUM_INSTALMENTS,49.18
DAYS_EMPLOYED,49.0575
NEW_EMPLOY_TO_BIRTH_RATIO,48.8625
YEARS_BEGINEXPLUATATION_MEDI,48.425
NEW_ANNUITY_TO_INCOME_RATIO,47.85
EXT_SOURCE_1,47.6475
LIVINGAREA_MEDI,46.8825
ACTIVE_DAYS_CREDIT_MEAN,46.29
NEW_EXT_SOURCES_MEAN,46.19
AMT_ANNUITY,45.6
INSTAL_AMT_PAYMENT_MAX_MAX,44.67
DAYS_LAST_PHONE_CHANGE,44.1525
APARTMENTS_MEDI,43.6875
BURO_DAYS_CREDIT_MAX,43.2775
BURO_DAYS_CREDIT_ENDDATE_MAX,43.275
POS_NAME_CONTRACT_STATUS_Active_MEAN,43.1425
APPROVED_AMT_DOWN_PAYMENT_MAX,42.715
INCOME_TO_GOODS_PRICE_RATIO,42.17
REGION_POPULATION_RELATIVE,40.8375
PREV_RATE_DOWN_PAYMENT_MEAN,40.3525
PREV_APP_CREDIT_PERC_MAX,40.0875
BURO_AMT_CREDIT_SUM_MEAN,39.24
NEW_SOURCES_PROD,38.7825
DIFF_CREDIT_AND_GOODS_RATIO,38.465
EXT_SOURCE_2_VAR,37.8425
PREV_APP_CREDIT_PERC_MEAN,37.7975
POS_MONTHS_BALANCE_SIZE,37.7725
ACTIVE_DAYS_CREDIT_MAX,37.6
PREV_AMT_ANNUITY_MEAN,37.455
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,36.23
BURO_AMT_CREDIT_SUM_SUM,35.815
EXT_SOURCE_3_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,35.8125
APPROVED_DAYS_DECISION_MAX,35.145
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,34.7025
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,34.645
POS_TIME_DECAYED_UNPAYED_RATIO_MEAN,34.5575
INSTAL_DAYS_ENTRY_PAYMENT_MAX_MAX,34.22
INSTAL_PAYMENT_PERC_MEAN_MEAN,34.0925
APPROVED_AMT_ANNUITY_MEAN,33.97
INSTAL_PAYMENT_PERC_SUM_SUM,33.95
OWN_CAR_AGE,33.5975
DAYS_REGISTRATION_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,32.9975
INSTAL_DBD_MAX_MAX,32.8425
DIFF_INCOME_AND_GOODS_PRICE,32.7675
REFUSED_TIME_DECAYED_HUMAN_EVAL_SUM,32.28
PREV_CNT_PAYMENT_MEAN,32.2275
DAYS_ID_PUBLISH_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,31.79
REFUSED_AMT_CREDIT_MIN,30.7
INSTAL_PAYMENT_DIFF_SUM_SUM,30.5225
BURO_AMT_CREDIT_SUM_MAX,30.3925
INSTAL_DBD_SUM_SUM,30.3575
BURO_AMT_CREDIT_SUM_DEBT_MEAN,30.15
NEW_RATIO_PREV_TIME_DECAYED_HUMAN_EVAL_SUM,29.875
APPROVED_TIME_DECAYED_HUMAN_EVAL_SUM,29.8425
CNT_FAM_MEMBERS_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,28.7675
DAYS_EMPLOYED_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,28.6225
CNT_CHILDREN_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,28.5425
EXT_SOURCE_2_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,28.435
POS_TIME_DECAYED_UNPAYED_RATIO_SUM,28.035
APPROVED_CNT_PAYMENT_MEAN,27.97
AMT_CREDIT,27.7525
EXT_SOURCE_1_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,27.6425
ACTIVE_AMT_CREDIT_SUM_MEAN,27.185
AMT_ANNUITY_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,26.915
APPROVED_AMT_CREDIT_MAX,26.9025
APPROVED_CNT_PAYMENT_SUM,26.2975
DAYS_BIRTH_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,26.075
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,25.755
REFUSED_APP_CREDIT_PERC_MIN,25.6425
APPROVED_APP_CREDIT_PERC_MIN,25.2825
BURO_CREDIT_TYPE_Credit card_MEAN,24.885
POS_TIME_DECAYED_UNPAYED_RATIO_MAX,24.6675
INSTAL_AMT_INSTALMENT_SUM_SUM,24.4975
PREV_APP_CREDIT_PERC_MIN,24.395
APPROVED_AMT_APPLICATION_MAX,23.965
ACTIVE_AMT_CREDIT_SUM_SUM,23.81
AMT_GOODS_PRICE,23.3775
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,23.375
INSTAL_PAYMENT_DIFF_MAX_MAX,23.2025
ENTRANCES_MEDI,22.9225
PREV_NAME_TYPE_SUITE_nan_MEAN,22.62
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,22.6
NEW_RATIO_PREV_CNT_PAYMENT_SUM,22.4775
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,22.29
PREV_HUMAN_EVAL_MEAN,21.83
INSTAL_DPD_MEAN_MEAN,21.72
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,21.52
BURO_CREDIT_ACTIVE_Closed_MEAN,21.0325
INSTAL_AMT_PAYMENT_SUM_SUM,20.82
ACTIVE_AMT_CREDIT_SUM_MAX,20.6225
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,20.615
CC_AMT_TOTAL_RECEIVABLE_MIN,20.305
INSTAL_DPD_MAX_MAX,20.1175
EXT_SOURCE_3_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,19.205
PREV_HUMAN_EVAL_SUM,19.02
PREV_NAME_YIELD_GROUP_high_MEAN,18.6375
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,18.5325
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,18.2175
POS_SK_DPD_DEF_MEAN,17.4325
SOCIAL_PRED,17.3375
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,17.175
PREV_NAME_YIELD_GROUP_XNA_MEAN,17.12
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,16.955
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,16.85
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,16.6725
INSTAL_DPD_SUM_SUM,16.5375
NEW_RATIO_PREV_HUMAN_EVAL_SUM,16.36
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,15.945
BURO_AMT_CREDIT_SUM_DEBT_SUM,15.86
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,15.405
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,14.26
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,14.2475
PREV_NAME_CLIENT_TYPE_New_MEAN,13.98
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,13.8
OBS_60_CNT_SOCIAL_CIRCLE,13.78
DAYS_EMPLOYED_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,13.5675
POS_MONTHS_BALANCE_MAX,13.1675
PREV_NAME_YIELD_GROUP_low_action_MEAN,13.025
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,12.96
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,12.91
CC_AMT_RECIVABLE_SUM,12.7325
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,12.42
POS_SK_DPD_DEF_MAX,12.23
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,11.56
PREV_NAME_PORTFOLIO_Cards_MEAN,11.5575
CC_CNT_DRAWINGS_CURRENT_MEAN,11.5225
CC_AMT_INST_MIN_REGULARITY_VAR,10.9125
CC_AMT_RECIVABLE_VAR,10.8
DAYS_EMPLOYED_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,10.785
CC_AMT_PAYMENT_CURRENT_SUM,10.7825
DAYS_ID_PUBLISH_BY_CODE_GENDER_OCCUPATION_TYPE,10.275
DAYS_REGISTRATION_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,10.2075
CC_CNT_DRAWINGS_CURRENT_VAR,10.1825
EXT_SOURCE_3_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,10.135
DAYS_BIRTH_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,10.085
PREV_CODE_REJECT_REASON_SCO_MEAN,10.0175
DAYS_REGISTRATION_BY_CODE_GENDER_OCCUPATION_TYPE,9.9
AMT_REQ_CREDIT_BUREAU_YEAR_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,9.565
CC_CNT_DRAWINGS_POS_CURRENT_MAX,9.4925
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,9.25
DAYS_EMPLOYED_BY_CODE_GENDER_OCCUPATION_TYPE,9.1625
PREV_NAME_PORTFOLIO_POS_MEAN,9.08
APPROVED_AMT_GOODS_PRICE_MAX,9.03
BURO_CREDIT_TYPE_Car loan_MEAN,8.8275
PREV_PRODUCT_COMBINATION_Cash Street: low_MEAN,8.7875
PREV_CODE_REJECT_REASON_XAP_MEAN,8.73
EXT_SOURCE_1_BY_CODE_GENDER_OCCUPATION_TYPE,8.6575
YEARS_BUILD_AVG_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,8.645
APARTMENTS_AVG_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,8.53
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,8.485
DAYS_BIRTH_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,8.3725
EXT_SOURCE_1_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,8.13
EXT_SOURCE_1_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,8.035
EXT_SOURCE_1_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,8.02
PREV_CODE_REJECT_REASON_CLIENT_MEAN,8.01
NONLIVINGAREA_AVG_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,7.88
DAYS_BIRTH_BY_CODE_GENDER_OCCUPATION_TYPE,7.835
CNT_CHILDREN_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,7.825
APPROVED_HUMAN_EVAL_SUM,7.82
CNT_CHILDREN_BY_CODE_GENDER_OCCUPATION_TYPE,7.795
CC_AMT_BALANCE_MEAN,7.7225
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,7.67
AMT_ANNUITY_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,7.66
DAYS_ID_PUBLISH_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,7.5725
CC_CNT_DRAWINGS_CURRENT_MAX,7.5275
EXT_SOURCE_3_BY_CODE_GENDER_OCCUPATION_TYPE,7.48
CNT_FAM_MEMBERS_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,7.3675
EXT_SOURCE_2_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,7.065
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,7.0175
AMT_REQ_CREDIT_BUREAU_QRT,6.88
BASEMENTAREA_AVG_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,6.7275
AMT_CREDIT_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,6.4125
AMT_INCOME_TOTAL_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,6.27
CNT_FAM_MEMBERS_BY_CODE_GENDER_OCCUPATION_TYPE,6.21
AMT_CREDIT_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,5.835
OWN_CAR_AGE_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,5.7775
AMT_INCOME_TOTAL_BY_CODE_GENDER_NAME_EDUCATION_TYPE,5.775
CC_AMT_BALANCE_MAX,5.725
BURO_CREDIT_TYPE_Mortgage_MEAN,5.3475
AMT_ANNUITY_BY_REG_CITY_NOT_WORK_CITY_OCCUPATION_TYPE,5.2775
AMT_ANNUITY_BY_CODE_GENDER_OCCUPATION_TYPE,5.21
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,5.165
DEF_30_CNT_SOCIAL_CIRCLE,5.0225
BURO_CREDIT_TYPE_Microloan_MEAN,4.8525
NEW_RATIO_BURO_AMT_CREDIT_SUM_LIMIT_MEAN,4.83
EXT_SOURCE_2_BY_NAME_EDUCATION_TYPE_OCCUPATION_TYPE,4.555
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,4.1775
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,3.99
DEF_60_CNT_SOCIAL_CIRCLE,3.7
EXT_SOURCE_3_BY_OCCUPATION_TYPE,3.6425
PREV_NAME_GOODS_CATEGORY_Sport and Leisure_MEAN,3.6325
DAYS_REGISTRATION_BY_OCCUPATION_TYPE,3.39
DAYS_ID_PUBLISH_BY_OCCUPATION_TYPE,3.3825
EXT_SOURCE_2_BY_CODE_GENDER_OCCUPATION_TYPE,3.165
CC_AMT_RECIVABLE_MAX,3.0425
DAYS_EMPLOYED_BY_OCCUPATION_TYPE,3.04
CNT_CHILDREN_BY_OCCUPATION_TYPE,2.7975
NEW_DOC_IND_STD,2.6825
REGION_RATING_CLIENT,2.55
DAYS_BIRTH_BY_OCCUPATION_TYPE,2.5075
CC_AMT_RECIVABLE_MEAN,2.4775
WEEKDAY_APPR_PROCESS_START_TUESDAY,2.455
FLAG_DOCUMENT_3,2.45
FLAG_PHONE,2.4125
WEEKDAY_APPR_PROCESS_START_MONDAY,2.3925
NAME_FAMILY_STATUS_Married,2.36
CNT_FAM_MEMBERS_BY_OCCUPATION_TYPE,2.2775
NAME_FAMILY_STATUS_Single / not married,2.155
AMT_GOODS_PRICE_BY_NAME_INCOME_TYPE_OCCUPATION_TYPE,2.1275
FLAG_WORK_PHONE,2.1175
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,2.1
NAME_INCOME_TYPE_Working,2.0875
REFUSED_HUMAN_EVAL_SUM,2.005
REG_CITY_NOT_LIVE_CITY,1.9975
REGION_RATING_CLIENT_W_CITY,1.9825
WEEKDAY_APPR_PROCESS_START_SUNDAY,1.965
EXT_SOURCE_1_BY_OCCUPATION_TYPE,1.935
"WALLSMATERIAL_MODE_Stone, brick",1.8775
CC_NAME_CONTRACT_STATUS_Active_MIN,1.8225
FLAG_DOCUMENT_8,1.675
NAME_HOUSING_TYPE_House / apartment,1.66
NAME_HOUSING_TYPE_Municipal apartment,1.63
WALLSMATERIAL_MODE_Panel,1.54
ORGANIZATION_TYPE_Business Entity Type 3,1.465
NAME_INCOME_TYPE_State servant,1.37
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,1.36
ORGANIZATION_TYPE_Construction,1.335
LIVE_CITY_NOT_WORK_CITY,1.2675
ORGANIZATION_TYPE_Self-employed,1.2525
CC_AMT_TOTAL_RECEIVABLE_SUM,1.16
NEW_DOC_IND_KURT,1.1375
ORGANIZATION_TYPE_School,1.1375
WALLSMATERIAL_MODE_Others,1.015
ORGANIZATION_TYPE_Medicine,0.9825
AMT_CREDIT_BY_OCCUPATION_TYPE,0.95
CODE_GENDER,0.9475
ORGANIZATION_TYPE_Restaurant,0.9125
FLAG_DOCUMENT_18,0.8775
NAME_HOUSING_TYPE_Office apartment,0.8625
ORGANIZATION_TYPE_Military,0.855
ORGANIZATION_TYPE_Industry: type 9,0.85
NAME_EDUCATION_TYPE_Higher education,0.805
NAME_CONTRACT_TYPE_Cash loans,0.8025
OCCUPATION_TYPE_High skill tech staff,0.7925
NAME_EDUCATION_TYPE_Secondary / secondary special,0.775
NAME_EDUCATION_TYPE_Lower secondary,0.6975
ORGANIZATION_TYPE_Bank,0.6475
ORGANIZATION_TYPE_Security Ministries,0.625
ORGANIZATION_TYPE_Police,0.615
ORGANIZATION_TYPE_Hotel,0.5975
ORGANIZATION_TYPE_Kindergarten,0.595
OCCUPATION_TYPE_Laborers,0.5625
NAME_TYPE_SUITE_Other_B,0.56
FLAG_OWN_CAR,0.545
FLAG_DOCUMENT_11,0.505
CC_AMT_TOTAL_RECEIVABLE_MEAN,0.5
CC_AMT_TOTAL_RECEIVABLE_VAR,0.4975
CC_AMT_TOTAL_RECEIVABLE_MAX,0.4775
EXT_SOURCE_2_BY_OCCUPATION_TYPE,0.47
ORGANIZATION_TYPE_Transport: type 3,0.43
OCCUPATION_TYPE_Sales staff,0.1575
NAME_CONTRACT_TYPE_Revolving loans,0.05
POS_TIME_DECAYED_UNPAYED_RATIO_SIZE,0.0
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Low-skill Laborers,0.0
EXT_SOURCE_3_VAR,0.0
OCCUPATION_TYPE_Drivers,0.0
POS_COUNT,0.0
OCCUPATION_TYPE_Core staff,0.0
OCCUPATION_TYPE_Accountants,0.0
