feature,importance
NUM_INSTALMENTS,1118.46
EXT_SOURCE_2,608.8
NEW_EXT_SOURCES_MEAN,598.88
DAYS_BIRTH,591.48
EXT_SOURCE_3,583.54
CLOSED_DAYS_CREDIT_MAX,525.32
EXT_SOURCE_1,512.62
ACTIVE_DAYS_CREDIT_MAX,499.72
DIFF_CREDIT_AND_GOODS_RATIO,499.5
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,490.44
PREV_CNT_PAYMENT_MEAN,485.58
DAYS_EMPLOYED,481.4
NEW_EMPLOY_TO_BIRTH_RATIO,471.74
BURO_DAYS_CREDIT_ENDDATE_MAX,470.62
INSTAL_AMT_PAYMENT_SUM_SUM,468.06
BURO_DAYS_CREDIT_MAX,467.78
INSTAL_AMT_PAYMENT_MAX_MAX,460.32
POS_TIME_DECAYED_UNPAYED_RATIO_MAX,453.02
POS_TIME_DECAYED_UNPAYED_RATIO_MEAN,446.44
APPROVED_CNT_PAYMENT_MEAN,435.86
INSTAL_DPD_MEAN_MEAN,434.72
NEW_ANNUITY_TO_INCOME_RATIO,432.5
APPROVED_AMT_ANNUITY_MEAN,425.94
AMT_ANNUITY,411.0
ACTIVE_DAYS_CREDIT_MEAN,410.98
POS_TIME_DECAYED_UNPAYED_RATIO_SUM,408.0
BURO_AMT_CREDIT_SUM_SUM,406.26
APPROVED_AMT_DOWN_PAYMENT_MAX,405.28
PREV_AMT_ANNUITY_MEAN,401.64
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,400.36
INSTAL_DBD_SUM_SUM,399.36
BURO_AMT_CREDIT_SUM_MEAN,397.82
AMT_GOODS_PRICE,397.38
INSTAL_DBD_MAX_MAX,389.74
INSTAL_AMT_INSTALMENT_SUM_SUM,389.62
REGION_POPULATION_RELATIVE,388.22
INSTAL_AMT_PAYMENT_MIN_MIN,385.78
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,381.84
DAYS_ID_PUBLISH,381.7
