feature,importance
NUM_INSTALMENTS,1263.0
DAYS_BIRTH,811.96
EXT_SOURCE_3,767.4
NEW_EXT_SOURCES_MEAN,743.08
EXT_SOURCE_2,724.94
EXT_SOURCE_1,654.08
CLOSED_DAYS_CREDIT_MAX,612.28
DAYS_EMPLOYED,572.6
ACTIVE_DAYS_CREDIT_MAX,559.46
DAYS_ID_PUBLISH,558.78
AMT_ANNUITY,555.08
NEW_EMPLOY_TO_BIRTH_RATIO,553.26
DIFF_CREDIT_AND_GOODS_RATIO,548.76
BURO_DAYS_CREDIT_MAX,547.96
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,542.34
PREV_CNT_PAYMENT_MEAN,532.22
BURO_DAYS_CREDIT_ENDDATE_MAX,529.24
INSTAL_AMT_PAYMENT_MAX_MAX,529.16
NEW_ANNUITY_TO_INCOME_RATIO,525.46
INSTAL_AMT_PAYMENT_SUM_SUM,516.6
POS_TIME_DECAYED_UNPAYED_RATIO_MAX,505.28
POS_TIME_DECAYED_UNPAYED_RATIO_MEAN,499.4
AMT_GOODS_PRICE,488.22
APPROVED_CNT_PAYMENT_MEAN,485.96
ACTIVE_DAYS_CREDIT_MEAN,478.58
APPROVED_AMT_ANNUITY_MEAN,477.58
NEW_SOURCES_PROD,462.14
INSTAL_DPD_MEAN_MEAN,460.12
PREV_AMT_ANNUITY_MEAN,458.42
BURO_AMT_CREDIT_SUM_SUM,458.14
POS_TIME_DECAYED_UNPAYED_RATIO_SUM,453.9
APPROVED_AMT_DOWN_PAYMENT_MAX,450.24
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,447.18
REGION_POPULATION_RELATIVE,443.98
INSTAL_DBD_SUM_SUM,442.54
BURO_AMT_CREDIT_SUM_MEAN,440.26
DAYS_LAST_PHONE_CHANGE,436.52
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,435.58
INSTAL_AMT_INSTALMENT_SUM_SUM,435.3
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,434.6
INSTAL_DBD_MAX_MAX,434.38
INSTAL_AMT_PAYMENT_MIN_MIN,428.5
BURO_AMT_CREDIT_SUM_MAX,425.96
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,414.3
ACTIVE_AMT_CREDIT_SUM_SUM,413.86
INSTAL_DAYS_ENTRY_PAYMENT_MAX_MAX,413.44
PREV_APP_CREDIT_PERC_MEAN,411.46
BURO_AMT_CREDIT_SUM_DEBT_MEAN,411.18
PREV_APP_CREDIT_PERC_MAX,407.4
INCOME_TO_GOODS_PRICE_RATIO,406.2
AMT_CREDIT,398.42
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,396.84
DIFF_INCOME_AND_GOODS_PRICE,392.14
APPROVED_AMT_CREDIT_MAX,383.48
POS_MONTHS_BALANCE_SIZE,383.22
POS_NAME_CONTRACT_STATUS_Active_MEAN,380.06
APPROVED_DAYS_DECISION_MAX,379.92
INSTAL_PAYMENT_PERC_SUM_SUM,378.92
INSTAL_DPD_SUM_SUM,374.92
ACTIVE_AMT_CREDIT_SUM_MAX,374.88
PREV_RATE_DOWN_PAYMENT_MEAN,370.56
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,362.88
APPROVED_TIME_DECAYED_HUMAN_EVAL_SUM,362.82
INSTAL_PAYMENT_PERC_MEAN_MEAN,361.84
ACTIVE_AMT_CREDIT_SUM_MEAN,360.9
DAYS_EMPLOYED_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,359.1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,355.76
APPROVED_AMT_APPLICATION_MAX,348.7
INSTAL_DPD_MAX_MAX,341.4
YEARS_BEGINEXPLUATATION_MEDI,340.48
PREV_APP_CREDIT_PERC_MIN,340.28
BURO_AMT_CREDIT_SUM_DEBT_SUM,339.78
APPROVED_CNT_PAYMENT_SUM,337.96
APARTMENTS_MEDI,337.24
APPROVED_AMT_GOODS_PRICE_MAX,331.54
NEW_RATIO_PREV_TIME_DECAYED_HUMAN_EVAL_SUM,329.72
INSTAL_PAYMENT_DIFF_SUM_SUM,329.44
REFUSED_TIME_DECAYED_HUMAN_EVAL_SUM,327.84
APPROVED_APP_CREDIT_PERC_MIN,327.22
LIVINGAREA_MEDI,325.28
OWN_CAR_AGE,323.72
POS_TIME_DECAYED_UNPAYED_RATIO_SIZE,306.02
BURO_CREDIT_ACTIVE_Closed_MEAN,304.6
EXT_SOURCE_1_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,292.2
EXT_SOURCE_3_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,290.46
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,287.04
PREV_NAME_YIELD_GROUP_high_MEAN,280.14
DAYS_ID_PUBLISH_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,280.06
REFUSED_AMT_CREDIT_MIN,278.72
CNT_CHILDREN_BY_ORGANIZATION_TYPE_OCCUPATION_TYPE,275.14
POS_MONTHS_BALANCE_MAX,265.92
INSTAL_PAYMENT_DIFF_MAX_MAX,260.44
NEW_RATIO_PREV_CNT_PAYMENT_SUM,253.84
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,253.46
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,253.34
BURO_CREDIT_TYPE_Credit card_MEAN,252.26
